gram,counts
covid 19,1857560
coronavirus outbreak,511613
coronavirus covid19,288244
coronavirus cases,262726
via youtube,223238
novel coronavirus,215896
coronavirus pandemic,213271
due coronavirus,195247
new coronavirus,185737
china coronavirus,183004
covid19 coronavirus,177634
coronavirus china,170726
amid coronavirus,161600
death toll,159462
il coronavirus,148006
wuhan coronavirus,143481
coronavirus covid,135795
corona virus,133520
cruise ship,132049
coronavirus via,131665
new york,130614
stay home,128855
positive coronavirus,122410
du coronavirus,118673
wuhan china,118030
spread coronavirus,116623
coronavirus crisis,113510
coronavirus fears,113329
casos coronavirus,109960
coronavirus death,106055
confirmed cases,105926
new cases,104142
hong kong,103909
cases coronavirus,103049
south korea,99940
social distancing,97397
caso coronavirus,95610
news coronavirus,93575
gon na,91589
fight coronavirus,91179
coronavirus wuhan,90888
tested positive,90713
public health,90145
bbc news,87269
19 pandemic,85867
2019 ncov,79843
coronavirus spread,77550
live updates,77359
case coronavirus,76987
stay safe,74278
coronavirus patients,72394
coronavirus case,71825
nuevo coronavirus,67509
get coronavirus,67483
tests positive,67280
wuhan virus,65639
virus coronavirus,65604
coronavirus live,64769
coronavirus update,62533
united states,62038
coronavirus response,61587
white house,61301
coronavirus spreads,60194
primer caso,58229
first coronavirus,58163
diamond princess,57206
donald trump,56944
gt gt,56682
href rel,56562
rel nofollow,56559
coronavirus coronavirusoutbreak,56391
true href,55348
coronavirus could,55298
infected coronavirus,54604
coronavirus vaccine,54525
fake news,54497
coronavirus 2019,54238
sign petition,53356
coronavirus deaths,53033
crisis coronavirus,53024
year old,52813
outside china,52458
19 cases,52367
coronavirus vía,52011
coronavirus lockdown,51848
coronavirus coronavirus,51008
coronavirus quarantine,49804
world health,49790
coronavirus sars,49569
health emergency,49537
nofollow twitter,48719
coronavirus epidemic,48312
president trump,48055
19 coronavirus,47684
wash hands,46606
coronavirus il,46603
first case,46571
coronavirus covid_19,46025
petition via,45674
casos confirmados,45644
test positive,45480
pandemia coronavirus,45359
trump coronavirus,44920
many people,44782
19 outbreak,44747
response coronavirus,44646
health care,44100
health officials,43796
covidー19 coronavirus,42841
coronavirus italia,42815
around world,42399
coronavirus covidー19,41892
says coronavirus,41889
social media,41777
coronavirus concerns,41050
looks like,40926
due covid,40655
like coronavirus,40630
us coronavirus,40521
brote coronavirus,40459
covid19 pandemic,40136
het coronavirus,39674
coronavirus test,39538
muertos coronavirus,39405
task force,39141
gt virus,38934
covid_19 coronavirus,38596
york times,38585
sars flu,38375
china wuhan,38345
coronavirus si,38266
per il,37956
19 crisis,37911
see details,37831
coronavirus spreading,37696
health organization,37572
details gt,37142
si coronavirus,37116
coronavirus may,37000
di coronavirus,36943
fox news,36400
coronavirus us,36277
coronavirus disease,36203
nuevos casos,36119
coronavirus hit,35928
di wuhan,35910
stock market,35462
daily thanks,35338
deadly coronavirus,35202
coronavirus patient,35124
need know,34828
100 000,34803
face masks,34639
confirmed coronavirus,34529
qu il,34387
au coronavirus,34274
impact coronavirus,34225
good news,34218
coronavirus impact,34004
000 people,33804
stop spread,33564
china trump,33546
cure coronavirus,33320
est pas,33279
flu china,32885
coronavirus infection,32790
boris johnson,32669
coronavirus est,32013
got coronavirus,32009
coronavirus testing,32006
coronavirus confirmed,31936
coronavirus news,31872
positive covid,31750
positivo coronavirus,31711
two weeks,31694
fight covid19,31634
coronavirus covid2019,31624
twitter web,31602
people coronavirus,31226
da coronavirus,31154
coronavirus infections,30918
virus corona,30905
wan na,30693
die coronavirus,30660
10 000,30536
know coronavirus,30320
coronavirus corona,30187
zero hedge,30184
health minister,30153
spread covid19,29969
coronavirus virus,29949
trump administration,29898
people died,29895
coronavirus new,29868
breaking news,29647
toll rises,29590
last week,29461
covid19 cases,29134
mainland china,29116
hubei province,28993
death rate,28655
global health,28635
take care,28600
via mailonline,28552
com coronavirus,28428
bill gates,28371
stop coronavirus,28248
coronavirus symptoms,28243
prime minister,28109
14 days,27997
19 via,27866
toilet paper,27767
help us,27744
make sure,27569
web app,27442
coronavirus españa,27324
outbreak coronavirus,27157
test kits,27133
chinese virus,26990
confirmed case,26972
19 virus,26954
corona coronavirus,26900
contagio coronavirus,26876
das coronavirus,26633
due covid19,26568
sars cov,26531
cases confirmed,26394
coronavirus amp,26011
cuarentena coronavirus,25881
causa coronavirus,25838
died coronavirus,25776
coronavirus infected,25710
chinese government,25637
save lives,25628
fight covid,25589
contre coronavirus,25572
real time,25418
sul coronavirus,25355
cases china,25190
press conference,25186
dies coronavirus,25098
xi jinping,25084
coronavirus updates,24970
coronavirus va,24884
epidemia coronavirus,24792
every day,24629
dari wuhan,24576
24 hours,24561
prevent spread,24509
confirms first,24471
first time,24460
19 patients,24369
coronavirus like,24345
mortality rate,24284
virus covid,24119
people die,24025
coronavirus relief,24009
people dying,24006
number cases,23986
time coronavirus,23985
2019 novel,23981
global pandemic,23978
amid covid,23886
think coronavirus,23877
coronavirus task,23820
spread covid,23809
tested coronavirus,23747
coronavirus chinese,23576
trump says,23513
coronavirus uk,23509
coronavirus scare,23507
li wenliang,23427
covid_19 covid19,23340
coronavirus trump,23297
healthcare workers,22965
new post,22924
million people,22922
wall street,22885
cas coronavirus,22845
coronavirus threat,22710
one day,22624
combat coronavirus,22569
new deaths,22527
propagación coronavirus,22500
via gatewaypundit,22452
covid19 covid_19,22424
outbreak china,22403
global coronavirus,22350
god bless,22331
vía youtube,22311
coronavirus situation,22302
self isolation,22288
chinese people,22281
covidー19 covid19,22190
ee uu,22172
medical supplies,22171
coronavirusoutbreak coronavirus,21931
il est,21849
world news,21727
emergenza coronavirus,21697
000 cases,21663
infectados coronavirus,21619
diagnosed coronavirus,21582
washington post,21462
coronavirus et,21421
immune system,21314
โคว ด19,21309
chinese coronavirus,21289
total number,21287
covid2019 coronavirus,21285
people infected,21183
coronavirus puede,21096
fighting coronavirus,21005
reports first,20862
first death,20847
coronavirus latest,20836
china virus,20829
flights china,20813
sur coronavirus,20783
face mask,20775
coronavirus hits,20720
muertes coronavirus,20685
cases reported,20677
miedo coronavirus,20667
travel ban,20628
coronavirus going,20556
mental health,20537
covid19 covidー19,20535
weeks ago,20498
feel like,20469
suspected coronavirus,20404
coronavirus global,20370
cases covid,20360
mobile world,20193
got ta,20179
coronavirus health,20179
che il,20179
coronavirus non,20177
would like,20142
coronavirus argentina,19964
coronavirus bill,19898
spreading coronavirus,19893
world congress,19887
covid19 coronavirusoutbreak,19820
latest coronavirus,19820
number coronavirus,19727
catch coronavirus,19693
please help,19622
2020 coronavirus,19619
go back,19609
coronavirus panic,19605
san francisco,19599
emergency coronavirus,19562
corea sur,19417
spread virus,19357
look like,19342
outbreak via,19335
affected coronavirus,19323
supply chain,19300
doctors nurses,19297
vacuna coronavirus,19154
self isolate,19150
latest updates,19149
china reports,19145
tiempos coronavirus,19119
protect coronavirus,18999
via ukchange,18995
combatir coronavirus,18974
coronavirus stimulus,18948
covid19 outbreak,18889
american people,18851
el coronavirus,18792
loved ones,18775
coronavirus would,18770
update coronavirus,18659
ver si,18570
work home,18559
coronavirus get,18528
covid19 crisis,18512
friends family,18509
staying home,18508
via nyt,18459
coronavirus first,18437
coronavirus país,18391
via change,18341
coronavirus related,18327
self quarantine,18274
hand sanitizer,18265
chinese doctor,18254
world coronavirus,18226
let us,18146
coronavirus 2019ncov,18070
get tested,18060
cases rise,18014
des coronavirus,18007
people need,17983
deaths coronavirus,17956
help fight,17861
il faut,17840
casos covid,17824
10 days,17821
princess cruise,17800
despite coronavirus,17713
health ministry,17639
contain coronavirus,17624
climate change,17606
última hora,17565
common cold,17529
via breitbartnews,17499
03 2020,17486
puede ser,17470
coronavirus hospital,17434
test coronavirus,17421
risk coronavirus,17402
tema coronavirus,17320
coronavirus tests,17320
the coronavirus,17284
global economy,17284
communist party,17275
cause du,17271
coronavirus cruise,17230
last night,17211
worried coronavirus,17204
