term,counts
coronavirus,21042620
covid19,4714919
covid,4201402
19,4107745
nan,2090651
china,1729070
people,1696121
via,1519620
virus,1417859
amp,1232045
pandemic,1199064
cases,1170644
trump,1160999
wuhan,1133738
us,1127680
new,1061567
news,891578
get,849209
like,848728
si,768564
di,759933
health,747252
outbreak,729814
il,715511
one,708761
world,678558
time,674831
corona,591032
home,589115
help,587988
need,584322
spread,562822
covid_19,551784
crisis,548300
know,540097
please,531773
000,527878
due,526151
et,522625
first,515621
would,500613
2020,496568
na,489102
stay,479016
could,467654
da,467477
go,463191
des,459465
realdonaldtrump,453360
positive,452469
going,448851
est,441519
du,440667
die,438888
per,437605
test,436506
says,432692
casos,427039
see,424877
take,423526
government,421793
deaths,413986
good,412678
chinese,412342
death,410454
day,404073
still,392590
work,385994
stop,384990
may,379970
even,378664
think,378074
many,371424
case,366984
confirmed,361776
hospital,358238
lockdown,351919
italy,351671
country,350446
live,348959
covidー19,348568
today,347509
pour,347445
response,344991
make,341987
right,336525
global,336357
flu,331462
10,327750
non,325878
youtube,324678
state,323456
let,323152
also,316881
quarantine,315219
really,313950
fight,312641
uk,312121
got,310376
well,309418
re,308684
said,307559
social,307035
back,307026
testing,304304
say,303740
amid,299573
everyone,297792
president,297313
public,297020
pas,296830
patients,295496
days,294135
way,293708
come,288912
latest,286951
want,285218
care,284109
total,279221
tested,278099
keep,276996
man,276289
much,273249
video,272595
update,269769
infected,269134
tests,268795
safe,267938
read,266038
che,263047
support,260354
two,256422
times,255847
india,254781
coronaviruspandemic,253040
real,252256
medical,251828
gt,249980
covid2019,249536
media,249325
va,247547
au,244608
every,243022
vía,241258
last,240904
coronavirusoutbreak,240093
20,235023
must,234694
italia,232571
great,230068
year,229918
hope,228920
caso,228029
une,228021
the,227675
emergency,227188
com,226575
week,226361
getting,226356
face,225616
workers,224363
life,224247
sa,224187
number,222959
mundo,222259
gente,221033
qui,220391
around,217120
business,216470
casa,216353
sur,215824
travel,215763
pandemia,214900
risk,214119
updates,213467
symptoms,212595
em,212070
daily,211338
salud,210414
disease,209335
thanks,208618
free,208381
dan,208105
god,207635
use,207422
thank,206654
thing,205843
país,205728
march,205248
ser,205093
não,204909
countries,204478
cuarentena,204304
made,203941
eu,202954
americans,202799
gobierno,202744
100,199239
working,198054
self,197402
ne,197328
america,196894
je,196856
family,196711
usa,196691
weeks,196398
already,196313
call,195263
dr,194389
mais,194237
dans,192194
house,192137
twitter,191641
better,190932
breaking,190583
information,190331
look,190079
sick,187809
plus,187373
masks,186507
novel,186456
30,186155
ca,185751
next,185219
best,184510
watch,184038
york,181883
ce,180522
personas,180279
shit,179778
city,179387
france,179268
medidas,178839
hands,178663
never,178327
since,177219
economy,177207
situation,176729
iran,176516
ahora,176085
another,175643
24,175391
solo,175305
give,175222
person,173707
15,173499
vaccine,173338
spreading,172818
protect,171912
impact,171704
bill,171358
lives,171075
million,170661
anyone,170504
money,169219
post,169135
cdc,168897
love,168802
south,168472
taking,168398
españa,168011
things,166186
end,165918
away,165782
someone,165189
van,164971
states,164541
true,163175
ve,163131
fears,162990
trying,162523
died,162497
close,161078
toll,161044
put,160998
show,160973
14,160830
reports,159814
long,159779
rate,159661
panic,159292
online,159097
vous,159060
der,158437
bad,158141
data,158129
rt,158051
old,157116
big,156958
yet,156915
far,156855
plan,156703
hit,156164
sure,155967
2019,155884
staff,155293
check,154705
doctors,154106
control,153798
something,153688
to,153273
might,153012
fuck,152430
12,152204
needs,151866
doctor,151794
par,151170
bien,150573
without,149674
reported,149517
coming,149420
officials,148327
dos,147256
food,147070
así,146897
11,145768
cnn,145335
done,145030
important,144970
sars,144503
find,144164
community,143998
korea,143725
american,143681
start,143526
making,143305
ai,143053
national,142573
nothing,142545
um,142488
mas,142331
measures,142156
cause,141335
distancing,141137
place,141043
sign,140620
market,140114
patient,139963
report,139476
job,139142
tell,138638
puede,138129
und,137409
top,137384
change,137125
pm,137010
part,136438
county,136092
enough,135791
cruise,135487
hoy,135401
share,134874
together,134646
years,134479
open,134479
others,133895
local,133854
school,133818
hospitals,133715
believe,133429
pneumonia,132931
oh,132839
das,132808
everything,132422
saying,131801
follow,131201
pay,130809
feel,130116
numbers,129664
japan,129272
infection,129192
cure,128710
least,128676
using,128521
día,128173
save,128029
months,127795
ver,127676
human,127639
hacer,127486
high,127473
article,127408
50,126986
possible,126604
closed,125971
fear,125970
ship,125901
yes,125870
fucking,125462
economic,125132
healthcare,125117
full,124607
het,124462
lot,124321
qu,123928
soon,123712
in,123524
presidente,123468
friends,122343
actually,122173
gon,122148
called,122135
hand,121560
epidemic,121511
info,121343
ever,121085
días,121045
whole,120847
maybe,120735
team,120723
primer,120509
april,119751
point,119333
white,119154
stayhome,119105
story,118964
system,118939
cas,118662
muertos,118430
experts,117993
yang,117936
fake,117831
mask,117543
advice,116504
bbc,116345
order,115744
told,115693
isolation,115520
nous,114363
ll,114257
oms,114159
app,113718
worse,113620
across,113587
kill,113560
hace,113545
govt,113215
thought,112952
prevent,112614
anything,112468
shut,112057
minister,112046
avec,111653
dead,111602
cómo,111317
hard,111209
contact,111205
relief,110362
always,110197
coronavirusupdate,110121
students,109793
petition,109761
ago,109112
positivo,108732
nuevo,108549
serious,108158
act,107949
hours,107618
schools,107157
nhs,107108
03,106967
treatment,106705
etc,106465
stock,106306
concerns,105923
18,105847
air,105741
affected,105515
canada,105361
europe,105173
and,105019
war,104957
stayathome,104892
leave,104864
businesses,104146
united,104085
25,103726
ng,103575
méxico,103420
coronavírus,103003
ou,102847
continue,101961
threat,101407
little,100965
tweet,100949
gets,100705
sont,100523
ini,100133
month,99830
ça,99773
spreads,99714
menos,99464
likely,98865
contagio,98709
makes,98707
seriously,98691
13,98220
outside,98154
no,98009
link,97679
deal,97350
im,97031
citizens,96824
population,96775
questions,96419
less,96318
16,96045
de,96036
21,96030
gov,95976
it,95842
17,95798
avoid,95585
deadly,95135
wash,94852
looking,94792
500,94465
wait,94215
confinement,94206
including,94118
this,93752
brasil,93678
started,93571
found,93467
lol,93433
dies,93127
años,92876
used,92853
australia,92810
gracias,92784
ok,92758
mean,92681
fact,92177
wrong,91584
current,91467
three,91231
related,91205
action,90919
else,90820
venezuela,90659
el,90623
infections,90466
available,90172
pra,90161
aquí,90158
uma,90153
narendramodi,90123
police,89680
shows,89665
kids,89632
yg,89581
fighting,89569
force,89548
seen,89345
cancelled,89284
remember,89182
thread,88924
sono,88888
left,88864
coronaoutbreak,88785
ang,88609
listen,88330
worldwide,88184
all,88056
markets,88016
hoax,88015
service,88009
instead,88001
mal,87913
africa,87755
nation,87517
early,87447
dying,86830
probably,86647
truth,86468
idea,86378
official,86359
safety,86330
name,86291
donald,86205
california,86025
second,85733
services,85562
wo,85475
casi,85473
try,85343
talk,85315
understand,85266
question,85079
talking,84923
seems,84917
कर,84902
morning,84810
taken,84483
mayor,84454
quarantined,84381
millions,84323
washington,84226
personal,84139
problem,84099
gop,84086
party,84084
children,84013
tv,83851
employees,83843
small,83563
tan,83371
normal,83180
guys,83175
ask,82943
press,82940
companies,82548
essential,82534
worst,82469
vida,82457
60,82389
untuk,82305
ready,82211
democrats,82111
learn,82068
dice,81953
mejor,81762
ist,81645
research,81636
stupid,81486
despite,81336
flights,81293
ils,81248
della,81045
40,80776
means,80651
set,80561
argentina,80491
administration,80441
mundial,80426
governor,80343
vamos,80141
office,79954
low,79819
aux,79704
paper,79417
hear,79336
wants,79214
rise,79178
recovered,79148
anti,79143
message,79118
facebook,78631
zero,78563
johnson,78512
scientists,78422
nuevos,78350
socialdistancing,78319
tener,78252
confirms,78237
federal,78227
able,78112
potus,78058
become,78019
thousands,77947
calling,77938
general,77835
worried,77728
spain,77711
infectados,77687
información,77586
contre,77521
evitar,77495
vez,77466
indonesia,77444
rest,77314
of,77219
different,77214
países,77208
line,77143
kits,77050
buy,77012
needed,77001
vote,76927
racist,76688
on,76645
industry,76564
join,76449
negative,76423
healthy,76385
wow,76333
came,76135
reason,76109
florida,76045
dari,75913
wuhanvirus,75886
200,75868
pa,75867
tem,75830
san,75775
supplies,75766
ke,75663
group,75577
nigeria,75469
science,75441
fox,75367
mil,75177
den,75155
ppl,74820
comes,74722
company,74640
we,74639
woman,74623
hey,74429
cada,74393
la,74315
drug,74313
momento,74238
favor,74217
sad,74004
bir,73958
vs,73931
boris,73675
lost,73612
ncov,73591
dangerous,73393
political,73196
international,73115
immune,73033
marzo,73022
kong,72895
guy,72876
issues,72837
stimulus,72719
vai,72393
damn,72184
nyc,72034
ont,72016
madrid,71917
chine,71689
list,71609
families,71533
moment,71485
looks,71375
provide,71341
en,71323
dia,71197
tiempo,71112
muertes,71009
conference,70980
visit,70952
calls,70921
tout,70828
area,70771
hong,70678
google,70643
send,70630
you,70611
resources,70586
leaders,70518
ban,70341
80,70310
play,70226
yesterday,70160
members,70093
dont,70065
demand,70052
emergencia,70040
miedo,70018
faire,69981
epidemia,69800
thinking,69696
più,69547
according,69510
noticias,69441
quedateencasa,69406
toilet,69362
almost,69330
behind,69310
leadership,69264
warns,69255
goes,69165
went,69078
fait,69048
hi,69005
inside,68974
plans,68952
hold,68946
based,68878
mata,68831
22,68723
ta,68662
given,68660
lab,68526
blame,68446
past,68424
announced,68407
mass,68370
following,68215
causa,68141
bu,68097
confirmados,68061
un,68003
night,67907
sense,67848
stocks,67845
ass,67692
finally,67685
biden,67672
23,67396
package,67365
web,67317
season,67267
financial,67259
efforts,67204
power,67163
europa,67056
colombia,66923
lies,66922
run,66901
combat,66895
details,66830
break,66818
bring,66790
congress,66749
common,66588
study,66576
though,66543
is,66482
website,66455
germany,66448
mit,66368
ir,66360
helping,66334
center,66270
reuters,66243
coronavirusupdates,66054
dios,66044
happen,65989
sorry,65962
ko,65932
31,65841
source,65671
major,65617
être,65610
future,65477
imagine,65470
zu,65422
heard,65421
número,65393
slow,65319
foxnews,65174
took,65036
italian,65033
living,65024
university,64731
ci,64607
sent,64596
hell,64570
front,64456
met,64404
increase,64402
vulnerable,64370
00,64260
giving,64186
nicht,64178
expert,63945
water,63942
supply,63827
viral,63778
cancel,63722
killed,63700
issue,63698
late,63584
kind,63545
postponed,63520
toda,63436
happy,63423
takes,63410
literally,63291
nurses,63141
catch,63127
pray,63102
sir,63085
pakistan,63064
pacientes,63026
situación,62921
especially,62892
history,62821
billion,62778
allah,62507
course,62362
kita,62234
27,62196
head,62182
hate,62156
briefing,62126
entire,62045
date,62012
ada,61983
law,61945
facts,61945
critical,61832
después,61666
gli,61613
tous,61456
chief,61434
pass,61385
game,61355
results,61315
bc,61311
ones,61197
โคว,61194
parte,61168
poor,61135
asked,61042
anche,61038
events,61036
wonder,60988
amazon,60981
currently,60942
move,60864
regarding,60831
aid,60787
happening,60752
leader,60667
level,60609
cuba,60581
friday,60541
residents,60497
restrictions,60473
voy,60440
dei,60317
er,60296
crise,60074
wish,60067
guess,60010
russia,59987
ventilators,59946
flight,59934
continues,59910
70,59903
caused,59818
frente,59719
épidémie,59676
reporting,59634
parents,59620
interesting,59493
access,59483
que,59477
fund,59387
apple,59375
tips,59294
síntomas,59149
single,59118
peor,59103
prepare,59085
cut,59042
fast,58957
todas,58911
26,58723
survive,58719
treat,58716
op,58710
passengers,58595
monday,58488
stand,58481
hubei,58466
event,58453
28,58447
potential,58418
age,58408
known,58195
clear,58173
von,58168
comment,58158
ka,58075
bolsonaro,58068
joke,58034
ways,58031
senate,58001
mind,57997
matter,57897
mga,57872
responsible,57719
asking,57695
worry,57681
ao,57677
super,57632
semana,57569
january,57532
feb,57492
millones,57477
emergenza,57381
for,57355
contain,57294
london,57202
among,57190
creo,57152
só,57125
bueno,57109
telling,57052
href,57001
key,56944
paid,56942
