gram,counts
coronavirus covid 19,121311
covid 19 pandemic,85578
coronavirus death toll,64576
href rel nofollow,56559
true href rel,55348
amid coronavirus outbreak,54023
covid 19 cases,51615
bbc news coronavirus,51067
coronavirus live updates,50351
rel nofollow twitter,48719
coronavirus 2019 ncov,46892
covid 19 coronavirus,45853
sign petition via,45043
covid 19 outbreak,44627
tested positive coronavirus,41635
tests positive coronavirus,41033
due covid 19,39825
gt virus coronavirus,38713
new york times,38515
coronavirus sars flu,38163
virus coronavirus sars,38135
covid 19 crisis,37842
see details gt,36959
details gt virus,36944
primer caso coronavirus,36854
new coronavirus cases,36506
world health organization,36255
sars flu china,32090
nofollow twitter web,31560
positive covid 19,30982
flu china trump,27652
covid 19 via,27550
death toll rises,27264
twitter web app,27140
covid 19 virus,26578
due coronavirus outbreak,26383
fight covid 19,24635
covid 19 patients,24204
new cases coronavirus,23943
amid covid 19,23752
2019 novel coronavirus,23563
coronavirus task force,23454
public health emergency,23381
spread covid 19,23219
virus covid 19,22752
test positive coronavirus,22665
coronavirus via youtube,22242
first case coronavirus,21195
per il coronavirus,20954
gt gt gt,20808
novel coronavirus 2019,20691
cases covid 19,19886
mobile world congress,19612
global health emergency,19298
confirmed cases coronavirus,19288
amid coronavirus pandemic,19085
amid coronavirus fears,18611
china coronavirus outbreak,18177
confirmed coronavirus cases,17978
coronavirus outbreak china,17592
casos covid 19,17524
petition via ukchange,17284
first coronavirus case,16362
new york city,16216
response covid 19,16213
nuevos casos coronavirus,16177
covid 19 di,16151
first coronavirus death,16099
petition via change,16098
covid 19 response,15610
cari amici siamo,15420
diamond princess cruise,15317
voi covid19 westandwithitaly,15293
covid 19 test,15275
amici siamo voi,15272
siamo voi covid19,15260
coronavirus outbreak via,15032
cause du coronavirus,14579
cruise ship japan,14484
covid 19 update,14343
du covid 19,14234
nofollow twitter android,14080
stop spread coronavirus,14013
posible caso coronavirus,13587
princess cruise ship,13253
covid 19 testing,13151
trying times share,13073
family cari amici,13066
health care workers,12996
colleagues friends family,12981
support italian friends,12955
times share support,12954
italy trying times,12951
share support italian,12951
friends colleagues friends,12948
italian friends colleagues,12947
stand italy trying,12947
friends family cari,12937
coronavirus disease 2019,12811
deliver copy officials,12579
copy officials last,12577
officials last delivered,12577
coronavirus cruise ship,12333
casos confirmados coronavirus,12292
amid coronavirus crisis,12202
penyebaran covid 19,12201
china amid coronavirus,12159
quarantined cruise ship,12092
covid 19 lockdown,11912
number coronavirus cases,11906
stay at home,11649
pandemia covid 19,11604
novel coronavirus outbreak,11435
covid 19 situation,11167
tested positive covid,11120
wni dari wuhan,10995
new covid 19,10817
organización mundial salud,10682
face au coronavirus,10591
act deliver copy,10569
must act deliver,10532
